"","No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station","Date"
"52",52,2013,3,3,3,105,129,88,100,2500,2,-2.6,1017.2,-13.2,0,"NE",1.2,"Aotizhongxin",2013-03-03
"53",53,2013,3,3,4,106,136,79,92,2799,2,-4.3,1016.9,-11.8,0,"NNE",0.9,"Aotizhongxin",2013-03-03
"54",54,2013,3,3,5,101,135,64,87,2399,2,-5.6,1016.3,-10.9,0,"N",0.8,"Aotizhongxin",2013-03-03
"55",55,2013,3,3,6,91,142,67,87,2100,2,-5.8,1016.2,-11,0,"NNE",0.8,"Aotizhongxin",2013-03-03
"56",56,2013,3,3,7,79,116,83,91,2000,2,-3.1,1016.5,-11.1,0,"NE",1.5,"Aotizhongxin",2013-03-03
"57",57,2013,3,3,8,77,110,123,90,2299,2,0.7,1016.2,-13,0,"NNE",2.3,"Aotizhongxin",2013-03-03
"58",58,2013,3,3,9,83,119,135,90,2600,3,3.5,1015.8,-13.8,0,"NNE",0.4,"Aotizhongxin",2013-03-03
"59",59,2013,3,3,10,94,122,116,90,1800,9,6.5,1014.9,-13.2,0,"N",1.3,"Aotizhongxin",2013-03-03
"60",60,2013,3,3,11,96,117,89,93,1600,14,11.4,1013.8,-10.8,0,"ESE",0.9,"Aotizhongxin",2013-03-03
"61",61,2013,3,3,12,91,108,77,99,1600,14,13.8,1012.5,-13.3,0,"W",1.1,"Aotizhongxin",2013-03-03
"62",62,2013,3,3,13,98,134,50,81,1200,33,16,1011.5,-13.5,0,"W",5.9,"Aotizhongxin",2013-03-03
"63",63,2013,3,3,14,72,106,31,57,900,51,16.7,1010.8,-14,0,"WNW",4.3,"Aotizhongxin",2013-03-03
"64",64,2013,3,3,15,48,114,14,17,500,77,16.9,1010.5,-12.7,0,"WNW",2,"Aotizhongxin",2013-03-03
"65",65,2013,3,3,16,28,100,12,17,400,77,16.4,1010.6,-15.4,0,"NW",2.9,"Aotizhongxin",2013-03-03
"66",66,2013,3,3,17,26,103,9,19,400,73,13.1,1011.1,-10.1,0,"WSW",1.7,"Aotizhongxin",2013-03-03
"67",67,2013,3,3,18,24,82,8,27,500,66,8.7,1012.3,-11.3,0,"NW",1.6,"Aotizhongxin",2013-03-03
"68",68,2013,3,3,19,19,71,26,98,1300,11,12.2,1013.4,-13.7,0,"NNW",2,"Aotizhongxin",2013-03-03
"69",69,2013,3,3,20,60,175,64,135,2000,4,11.7,1013.5,-12.6,0,"N",0.9,"Aotizhongxin",2013-03-03
"70",70,2013,3,3,21,117,181,28,100,1100,5,5.3,1013.6,-10.9,0,"N",0,"Aotizhongxin",2013-03-03
"71",71,2013,3,3,22,54,105,28,90,1200,2,3.1,1014.1,-10.2,0,"NNE",1.8,"Aotizhongxin",2013-03-03
"72",72,2013,3,3,23,46,94,29,84,1200,2,5.2,1014.8,-10.6,0,"NNW",1.7,"Aotizhongxin",2013-03-03
"73",73,2013,3,4,0,42,83,51,86,1300,4,7.7,1015.7,-11.1,0,"N",2.6,"Aotizhongxin",2013-03-04
"74",74,2013,3,4,1,49,80,39,64,1000,25,8.2,1016.7,-11.7,0,"N",2.8,"Aotizhongxin",2013-03-04
"75",75,2013,3,4,2,34,62,17.3759014093609,14,300,68,8.1,1016.7,-11.8,0,"N",4.3,"Aotizhongxin",2013-03-04
"76",76,2013,3,4,3,12,34,6,12,1262.94514539774,77,7.2,1016.9,-11.6,0,"N",2.8,"Aotizhongxin",2013-03-04
"77",77,2013,3,4,4,7,18,14,59.3058331864524,400,42,6,1018,-11.6,0,"NNW",1,"Aotizhongxin",2013-03-04
"78",78,2013,3,4,5,10,24,18,45,400,40,2.7,1018.6,-10.9,0,"SSE",0.5,"Aotizhongxin",2013-03-04
"79",79,2013,3,4,6,13,32,24,65,500,22,3.8,1018.9,-11.4,0,"N",2.3,"Aotizhongxin",2013-03-04
"80",80,2013,3,4,7,14,36,30,70,600,17,6.5,1019.7,-10.7,0,"N",2.3,"Aotizhongxin",2013-03-04
"81",81,2013,3,4,8,13,35,38,70,700,21,9,1020.7,-12.2,0,"NE",3.1,"Aotizhongxin",2013-03-04
"82",82,2013,3,4,9,15,32,26,36,500,52,10.6,1020.8,-12.1,0,"NNE",1.3,"Aotizhongxin",2013-03-04
"83",83,2013,3,4,10,16,24,22,36,600,57,11.9,1020.4,-12.4,0,"NE",2.1,"Aotizhongxin",2013-03-04
"84",84,2013,3,4,11,18,33,18,27,400,68,13.1,1020,-13,0,"NE",3,"Aotizhongxin",2013-03-04
"85",85,2013,3,4,12,13,28,12,14,400,77,14.2,1018.9,-13.9,0,"N",2.7,"Aotizhongxin",2013-03-04
"86",86,2013,3,4,13,3,12,7,12,300,82,15.3,1017.8,-13,0,"S",2,"Aotizhongxin",2013-03-04
"87",87,2013,3,4,14,3,10,8,13,400,84,15.2,1017,-13.1,0,"SW",0.7,"Aotizhongxin",2013-03-04
"88",88,2013,3,4,15,10,13,9,15,400,84,15.3,1016.3,-13,0,"SSW",2.4,"Aotizhongxin",2013-03-04
"89",89,2013,3,4,16,14,20,10,34,500,70,14.5,1015.7,-13.7,0,"S",2.6,"Aotizhongxin",2013-03-04
"90",90,2013,3,4,17,20,33,14,40,500,78,12.7,1015.9,-11.8,0,"SW",2.6,"Aotizhongxin",2013-03-04
"91",91,2013,3,4,18,25,44,13,43,600,75,11.6,1016.5,-11.3,0,"SSW",3.4,"Aotizhongxin",2013-03-04
"92",92,2013,3,4,19,31,63,17,61,700,53,10.9,1016.6,-10.6,0,"SW",3.5,"Aotizhongxin",2013-03-04
"93",93,2013,3,4,20,34,84,18,76,800,40,9.9,1016.9,-10.3,0,"SSW",3.1,"Aotizhongxin",2013-03-04
"94",94,2013,3,4,21,40,85,40,76,800,39,8.4,1016.9,-10,0,"SSW",2.1,"Aotizhongxin",2013-03-04
"95",95,2013,3,4,22,51,91,46,85,1000,31,8.6,1016.3,-9.9,0,"SSW",2.4,"Aotizhongxin",2013-03-04
"96",96,2013,3,4,23,58,94,46,86,1100,84,7.7,1015.7,-9.3,0,"SW",2.1,"Aotizhongxin",2013-03-04
"97",97,2013,3,5,0,71,108,66,78,1100,84,4.7,1015.2,-9.1,0,"SW",1.6,"Aotizhongxin",2013-03-05
"98",98,2013,3,5,1,91,127,75,75,1200,84,1.1,1014.7,-7.9,0,"SW",0,"Aotizhongxin",2013-03-05
"99",99,2013,3,5,2,100,129,58,79,1200,84,-0.6,1014.4,-8.1,0,"S",0,"Aotizhongxin",2013-03-05
"100",100,2013,3,5,3,103,130,66,83,1399,84,0.2,1014,-8.8,0,"NE",1.2,"Aotizhongxin",2013-03-05
"101",101,2013,3,5,4,115,151,76,92,2299,84,1.8,1013.7,-9.5,0,"NE",1.5,"Aotizhongxin",2013-03-05
"102",102,2013,3,5,5,117,153,91,91,2399,84,0.6,1013.9,-9.4,0,"N",0.8,"Aotizhongxin",2013-03-05
"103",103,2013,3,5,6,104,145,94,89,2200,84,-0.2,1013.4,-8.6,0,"NE",1.3,"Aotizhongxin",2013-03-05
"104",104,2013,3,5,7,106,146,82,87,2299,84,2.9,1013.4,-9.1,0,"NNE",1.3,"Aotizhongxin",2013-03-05
"105",105,2013,3,5,8,111,147,101,87,2399,84,5.1,1013.4,-9.1,0,"NNE",1.2,"Aotizhongxin",2013-03-05
"106",106,2013,3,5,9,114,159,114,92,2899,84,7.7,1012.8,-8.4,0,"NNE",1.5,"Aotizhongxin",2013-03-05
"107",107,2013,3,5,10,131,177,107,104,2700,84,9.4,1012,-8.2,0,"NE",1.5,"Aotizhongxin",2013-03-05
"108",108,2013,3,5,11,138,184,109,115,2299,84,10.6,1011.1,-8.1,0,"NNE",1.4,"Aotizhongxin",2013-03-05
"109",109,2013,3,5,12,142,184,104,136,2299,15,11.9,1009.7,-7.5,0,"NNW",1.3,"Aotizhongxin",2013-03-05
"110",110,2013,3,5,13,163,193,94,147,2200,84,12.6,1008.5,-8,0,"N",1,"Aotizhongxin",2013-03-05
"111",111,2013,3,5,14,168,182,85,158,2100,84,13.5,1007.7,-7.8,0,"NNE",1.4,"Aotizhongxin",2013-03-05
"112",112,2013,3,5,15,165,171,85,172,2200,78,13.8,1007.2,-7.6,0,"NE",1.2,"Aotizhongxin",2013-03-05
"113",113,2013,3,5,16,166,186,97,194,2700,78,13.2,1007.1,-7,0,"NE",2,"Aotizhongxin",2013-03-05
"114",114,2013,3,5,17,190,218,101,204,2799,75,12.1,1007.7,-6.4,0,"NNE",1.6,"Aotizhongxin",2013-03-05
"115",115,2013,3,5,18,203,248,107,197,2500,53,9,1008.2,-5.7,0,"NE",1.4,"Aotizhongxin",2013-03-05
"116",116,2013,3,5,19,210,255,103,188,2200,40,5.3,1008.5,-4.8,0,"ESE",0,"Aotizhongxin",2013-03-05
"117",117,2013,3,5,20,205,244,106,189,2500,39,3.3,1008.7,-4.7,0,"N",0.2,"Aotizhongxin",2013-03-05
"118",118,2013,3,5,21,215,252,93,178,3100,31,2.9,1009,-4.6,0,"NNE",1.2,"Aotizhongxin",2013-03-05
"119",119,2013,3,5,22,219,253,92,169,3200,29,5.2,1008.9,-6.1,0,"NE",1.1,"Aotizhongxin",2013-03-05
"120",120,2013,3,5,23,226,269,147,184,4400,29,4.9,1008.4,-6.1,0,"NE",1.4,"Aotizhongxin",2013-03-05
"121",121,2013,3,6,0,284,315,133,174,4000,28,4.9,1008.5,-6.4,0,"NE",1.2,"Aotizhongxin",2013-03-06
"122",122,2013,3,6,1,272,300,131,166,4000,22,4.8,1008.3,-5.9,0,"NE",1.5,"Aotizhongxin",2013-03-06
"123",123,2013,3,6,2,242,265,109,146,3200,22,4.1,1007.8,-5.9,0,"NE",1.9,"Aotizhongxin",2013-03-06
"124",124,2013,3,6,3,212,229,90,141,2600,22,4,1007.6,-6.3,0,"NE",1.9,"Aotizhongxin",2013-03-06
"125",125,2013,3,6,4,192,203,83.6808,140.4252,1262.94514539774,22,3.9,1007.3,-6.1,0,"NE",1.4,"Aotizhongxin",2013-03-06
"126",126,2013,3,6,5,188,194,92,143,2500,22,4.1,1007.8,-5.7,0,"NE",1.6,"Aotizhongxin",2013-03-06
"127",127,2013,3,6,6,186,194,94,131,2600,22,4.5,1008.4,-5.3,0,"NE",2,"Aotizhongxin",2013-03-06
"128",128,2013,3,6,7,188,196,92,129,2700,22,5.7,1009.3,-5,0,"NE",1.7,"Aotizhongxin",2013-03-06
"129",129,2013,3,6,8,194,205,102,113,2500,22,6.6,1009.3,-4.8,0,"NE",1.7,"Aotizhongxin",2013-03-06
"130",130,2013,3,6,9,184,198,98,102,2399,22,7.5,1009.1,-4.6,0,"NE",1.7,"Aotizhongxin",2013-03-06
"131",131,2013,3,6,10,175,198,107,103,2600,22,8.7,1008.6,-4.5,0,"NE",1.5,"Aotizhongxin",2013-03-06
"132",132,2013,3,6,11,179,212,119,105,2399,22,10.1,1007.7,-4.7,0,"NE",1.4,"Aotizhongxin",2013-03-06
"133",133,2013,3,6,12,192,219,124,113,2299,22,11.1,1006.9,-4.2,0,"ENE",0.4,"Aotizhongxin",2013-03-06
"134",134,2013,3,6,13,201,233,126,136,2700,22,12.6,1005.8,-3.7,0,"WSW",1.5,"Aotizhongxin",2013-03-06
"135",135,2013,3,6,14,230,265,130,146,2799,14,14.5,1005.5,-3.3,0,"SSE",1.6,"Aotizhongxin",2013-03-06
"136",136,2013,3,6,15,246,277,140,157,2899,10,14.7,1005.5,-3.2,0,"SSW",2.5,"Aotizhongxin",2013-03-06
"137",137,2013,3,6,16,248,285,154,146,2799,17,14.2,1005.5,-3.2,0,"S",1.4,"Aotizhongxin",2013-03-06
"138",138,2013,3,6,17,230,276,145,171,3200,17,11.6,1005.9,-3.4,0,"SSW",1.1,"Aotizhongxin",2013-03-06
"139",139,2013,3,6,18,239,291,142,177,3500,17,6.8,1006.8,-2.9,0,"WSW",0.9,"Aotizhongxin",2013-03-06
"140",140,2013,3,6,19,242,338,124,164,3700,17,5.1,1007.6,-2.5,0,"WSW",1.2,"Aotizhongxin",2013-03-06
"141",141,2013,3,6,20,254,396,107,154,4200,17,4.4,1008.2,-2.5,0,"SSW",1.1,"Aotizhongxin",2013-03-06
"142",142,2013,3,6,21,266,380,117,159,3799,17,3.8,1007.7,-2.2,0,"WSW",1.9,"Aotizhongxin",2013-03-06
"143",143,2013,3,6,22,254,335,111,148,4099,17,2.4,1007.3,-2.5,0,"WSW",1.2,"Aotizhongxin",2013-03-06
"144",144,2013,3,6,23,260,360,119,145,4000,17,2.3,1007.2,-2.4,0,"NNE",1.3,"Aotizhongxin",2013-03-06
"145",145,2013,3,7,0,250,319,102,139,4000,17,1.5,1007.1,-2.6,0,"NNE",0.8,"Aotizhongxin",2013-03-07
"146",146,2013,3,7,1,240,297,91,127,4000,17,0.7,1007.1,-2.7,0,"SE",1.2,"Aotizhongxin",2013-03-07
"147",147,2013,3,7,2,238,294,83,133,4000,17,1.5,1006.9,-2.5,0,"NNE",0.6,"Aotizhongxin",2013-03-07
"148",148,2013,3,7,3,243,293,86,121,4099,17,0.3,1006.5,-2.7,0,"WNW",1.7,"Aotizhongxin",2013-03-07
"149",149,2013,3,7,4,246,304,57,113,5000,17,-0.9,1006.4,-3.3,0,"N",0.5,"Aotizhongxin",2013-03-07
"150",150,2013,3,7,5,275,337,46,103,5599,17,1.6,1006.7,-1.5,0,"NNE",1.7,"Aotizhongxin",2013-03-07
"151",151,2013,3,7,6,306,366,41,114,5700,17,0.3,1006.6,-2.7,0,"SW",0.4,"Aotizhongxin",2013-03-07
"152",152,2013,3,7,7,320,374,46,124,4599,17,2.4,1006.8,-1.4,0,"NNE",1.5,"Aotizhongxin",2013-03-07
"153",153,2013,3,7,8,292,344,78,106,3700,17,8.3,1006.5,-1,0,"NNE",0.8,"Aotizhongxin",2013-03-07
"154",154,2013,3,7,9,251,282,182,116,3299,17,10.1,1006.1,-0.7,0,"W",0.6,"Aotizhongxin",2013-03-07
"155",155,2013,3,7,10,228,255,166,135,3200,17,12.7,1005.5,-1.6,0,"ENE",1.2,"Aotizhongxin",2013-03-07
"156",156,2013,3,7,11,217,255,169,171,4000,17,16.5,1003.6,-1.6,0,"WSW",1.7,"Aotizhongxin",2013-03-07
"157",157,2013,3,7,12,255,311,154,201,4000,17,17.1,1001.6,-3.1,0,"SSW",3.7,"Aotizhongxin",2013-03-07
"158",158,2013,3,7,13,258,283,111,226,3700,17,17.7,1000.2,-3.2,0,"SW",3.1,"Aotizhongxin",2013-03-07
"159",159,2013,3,7,14,277,284,102,167,2899,39,18.3,998.6,-3.2,0,"SSW",3.6,"Aotizhongxin",2013-03-07
"160",160,2013,3,7,15,282,326,79,130,2399,61,18.6,997.6,-1.8,0,"SSW",3.3,"Aotizhongxin",2013-03-07
"161",161,2013,3,7,16,267,310,62,97,1899,80,17.9,997.2,-0.9,0,"SW",1.9,"Aotizhongxin",2013-03-07
"162",162,2013,3,7,17,216,257,64,86,1600,84,15.4,997.1,-1.7,0,"NNW",1.4,"Aotizhongxin",2013-03-07
"163",163,2013,3,7,18,201,255,76,125,1899,84,14.4,997.4,-2.5,0,"N",1.9,"Aotizhongxin",2013-03-07
"164",164,2013,3,7,19,211,287,79,173,2399,10,13.4,997.9,-2.6,0,"NNE",1.5,"Aotizhongxin",2013-03-07
"165",165,2013,3,7,20,227,298,99,207,3399,84,11.8,997.7,-2.1,0,"NE",1.5,"Aotizhongxin",2013-03-07
"166",166,2013,3,7,21,282,377,114,213,4000,84,9.2,997.9,-1.3,0,"NNE",1.4,"Aotizhongxin",2013-03-07
"167",167,2013,3,7,22,363,452,126,210,4000,84,7.5,998.3,-1.2,0,"NE",1.3,"Aotizhongxin",2013-03-07
"168",168,2013,3,7,23,376,426,128,209,3799,84,6.6,998.4,-0.9,0,"E",0.1,"Aotizhongxin",2013-03-07
"169",169,2013,3,8,0,344,389,107,195,3799,84,4.1,998.2,-1.3,0,"ESE",0,"Aotizhongxin",2013-03-08
"170",170,2013,3,8,1,339,370,90,177,4099,84,3.3,998.5,-1.7,0,"N",0.9,"Aotizhongxin",2013-03-08
"171",171,2013,3,8,2,339,400,17.3759014093609,162,3899,84,2.5,998.2,-1.9,0,"SW",0.8,"Aotizhongxin",2013-03-08
"172",172,2013,3,8,3,324,373,71,154,1262.94514539774,84,1.8,997.9,-1.8,0,"N",0,"Aotizhongxin",2013-03-08
"173",173,2013,3,8,4,322,345,62,59.3058331864524,3299,84,1.3,998.5,-1.8,0,"W",1,"Aotizhongxin",2013-03-08
"174",174,2013,3,8,5,315,346,47,144,3200,84,1.4,999,-1.5,0,"SW",0.8,"Aotizhongxin",2013-03-08
"175",175,2013,3,8,6,310,327,45,146,3299,84,1.1,999.7,-1.8,0,"WSW",0.8,"Aotizhongxin",2013-03-08
"176",176,2013,3,8,7,309,318,44,145,4099,84,5.7,1000.4,0.5,0,"NNE",1,"Aotizhongxin",2013-03-08
"177",177,2013,3,8,8,310,337,88,137,4900,84,10.9,1000.8,1.4,0,"SE",0.7,"Aotizhongxin",2013-03-08
"178",178,2013,3,8,9,326,371,144,149,5200,84,16.9,1001.1,-0.4,0,"E",1,"Aotizhongxin",2013-03-08
"179",179,2013,3,8,10,326,844,125.9496,179.2269,1262.94514539774,84,19.1,1000.9,-0.4,0,"SSW",1.9,"Aotizhongxin",2013-03-08
"180",180,2013,3,8,11,219,362,83,160,3100,84,20.5,1000.5,-3.3,0,"SSW",4.4,"Aotizhongxin",2013-03-08
"181",181,2013,3,8,12,104,194,37,101,1399,84,21.7,999.4,-2.3,0,"S",3,"Aotizhongxin",2013-03-08
"182",182,2013,3,8,13,121,225,40,96,1300,84,22.5,998.2,-2.3,0,"S",3.3,"Aotizhongxin",2013-03-08
"183",183,2013,3,8,14,184,348,49,104,1800,84,17.4,998.3,1.4,0,"ESE",4.5,"Aotizhongxin",2013-03-08
"184",184,2013,3,8,15,330,508,102,139,3600,84,13.9,999.5,1.2,0,"ESE",2.7,"Aotizhongxin",2013-03-08
"185",185,2013,3,8,16,172,284,84,84,1700,84,11.9,1000.2,0,0,"ESE",2.6,"Aotizhongxin",2013-03-08
"186",186,2013,3,8,17,114,181,68,68,1100,68,10.3,999.9,-0.5,0,"SE",2.8,"Aotizhongxin",2013-03-08
"187",187,2013,3,8,18,82,128,55,63,900,68,9.3,1000.6,-0.9,0,"S",1.4,"Aotizhongxin",2013-03-08
"188",188,2013,3,8,19,84,123,46,73,1100,68,8,1000.5,-0.3,0,"NE",0.8,"Aotizhongxin",2013-03-08
"189",189,2013,3,8,20,91,104,48,65,1000,68,7.9,1000.4,-1.6,0,"SSW",1.4,"Aotizhongxin",2013-03-08
"190",190,2013,3,8,21,81,87,43,61,1100,68,7.2,1000,-1.5,0,"ENE",1.6,"Aotizhongxin",2013-03-08
"191",191,2013,3,8,22,90,102,45,68,1399,68,6.3,999,-3.4,0,"E",0.9,"Aotizhongxin",2013-03-08
"192",192,2013,3,8,23,79,85,53,63,1500,68,5.7,997.7,-3.4,0,"SSW",1,"Aotizhongxin",2013-03-08
"193",193,2013,3,9,0,49,67,53,70,1600,68,3.6,996.1,-2.6,0,"W",0.6,"Aotizhongxin",2013-03-09
"194",194,2013,3,9,1,89,91,54,84,1899,68,2.1,994.9,-2.6,0,"W",1.1,"Aotizhongxin",2013-03-09
"195",195,2013,3,9,2,89,97,44,97,2299,68,1.4,994.1,-3.1,0,"N",0,"Aotizhongxin",2013-03-09
"196",196,2013,3,9,3,98,125,42,94,2299,68,1.1,993,-3.2,0,"NE",1.4,"Aotizhongxin",2013-03-09
"197",197,2013,3,9,4,97,118,52,97,2399,68,1.8,992,-2.3,0,"E",0,"Aotizhongxin",2013-03-09
"198",198,2013,3,9,5,102,123,52,93,2500,68,3.2,992,-2.8,0,"NE",1.3,"Aotizhongxin",2013-03-09
"199",199,2013,3,9,6,110,153,44,83,2600,68,2.8,992.2,-2.5,0,"NE",1,"Aotizhongxin",2013-03-09
"200",200,2013,3,9,7,108,143,51,85,2100,68,4.6,992.9,-2.1,0,"NE",1.8,"Aotizhongxin",2013-03-09
"201",201,2013,3,9,8,104,139,70,82,2100,68,8.4,994.1,-1.7,0,"E",2.6,"Aotizhongxin",2013-03-09
"202",202,2013,3,9,9,113,166,108,86,1899,68,16.3,995.9,-0.4,0,"NNW",3.3,"Aotizhongxin",2013-03-09
"203",203,2013,3,9,10,145,272,122,86,2200,68,16.7,998.3,-4.6,0,"NNW",7.7,"Aotizhongxin",2013-03-09
"204",204,2013,3,9,11,69,587,50,21,400,68,14.3,1001.3,-9.1,0,"NNW",7.4,"Aotizhongxin",2013-03-09
"205",205,2013,3,9,12,78,110.060391311944,10,10,300,68,12.4,1004.3,-14.4,0,"NW",7.9,"Aotizhongxin",2013-03-09
